"Hello! This is the working master, without EPIC.",,,,,,,,,,,,,,
Anything broken will say so in the leftmost column. These likely need to be fixed manually.,,,,,,,,,,,,,,
"I can get a script set up to automatically pull tracts, but I'm not sure about blocks. I didn't look into this much when I made the master.",,,,,,,,,,,,,,
"The same lookup for the tract is the same lookup for the api pull, though, so it might be likely.",,,,,,,,,,,,,,
Oldest tree:,196,,,,,,,,,,,,,
Biggest tree:,192,"<- Though, one is just ""VERY BIG""...",,,,,,,,,,there are some values in L,,
1320,W,ROSEMONT,,,67,HONEY LOCUST,21.3,3.0,64,ENN-NEON,NE CORNER,,,
1322,W,ROSEMONT,,,62,AMERICAN SYCAMORE,19.7,4.0,79,ENN-NEON,NW CORNER,,,
1324,W,ROSEMONT,,,67,AMERICAN SYCAMORE,21.3,4.0,85,ENN-NEON,,,,
1326,W,ROSEMONT,,,78,AMERICAN SYCAMORE,24.8,4.0,99,ENN-NEON,,,,
1400,W,ROSEMONT,,,75,AMERICAN SYCAMORE,23.9,4.0,96,ENN-NEON,,,,
1408,W,ROSEMONT,,,80,SILVER MAPLE,25.5,3.0,76,ENN-NEON,,,,
1416,W,ROSEMONT,,,79,SIBERIAN ELM,25.2,2.0,50,ENN-NEON,,,,
1424,W,ROSEMONT,,,98,AMERICAN ELM,31.2,4.0,125,ENN-NEON,,,,
1426,W,ROSEMONT,,,54,LINDEN,17.2,3.0,52,ENN-NEON,,,,
1434,W,ROSEMONT,,,83,SILVER MAPLE,26.4,3.0,79,ENN-NEON,,,,
1436,W,ROSEMONT,,,66,NORWAY MAPLE,21,4.5,95,ENN-NEON,,,,
1438,W,ROSEMONT,,,67,AMERICAN SYCAMORE,21.3,4.0,85,ENN-NEON,,,,
1440,W,ROSEMONT,,,97,AMERICAN SYCAMORE,30.9,4.0,124,ENN-NEON,,,,
1454,W,ROSEMONT,,,107,AMERICAN SYCAMORE,34.1,4.0,136,ENN-NEON,,,,
1500,W,ROSEMONT,,,72,NORWAY MAPLE,22.9,4.5,103,ENN-NEON,,,,
1502,W,ROSEMONT,,,63,NORWAY MAPLE,20.1,4.5,90,ENN-NEON,,,,
1506,W,ROSEMONT,,,91,AMERICAN SYCAMORE,29,4.0,116,ENN-NEON,,,,
1510,W,ROSEMONT,,,82,AMERICAN SYCAMORE,26.1,4.0,104,ENN-NEON,,,,
1520,W,ROSEMONT,,,86,SILVER MAPLE,27.4,3.0,82,ENN-NEON,,,,
1534,W,ROSEMONT,,,57,NORWAY MAPLE,18.2,4.5,82,ENN-NEON,,,,
1536,W,ROSEMONT,,,69,NORWAY MAPLE,22,4.5,99,ENN-NEON,,,,
1555,W,ROSEMONT,,,104,AMERICAN ELM,33.1,4.0,132,ENN-NEON,,,,
1531,W,ROSEMONT,,,82,SILVER MAPLE,26.1,3.0,78,ENN-NEON,,,,
1517,W,ROSEMONT,,,64,NORWAY MAPLE,20.4,4.5,92,ENN-NEON,,,,
1501,W,ROSEMONT,,,102,AMERICAN SYCAMORE,32.5,4.0,130,ENN-NEON,,,,
1457,W,ROSEMONT,,,95,AMERICAN ELM,30.3,4.0,121,ENN-NEON,,,,
1453,W,ROSEMONT,,,104,SILVER MAPLE,33.1,3.0,99,ENN-NEON,,,,
1443,W,ROSEMONT,,,67,SILVER MAPLE,21.3,3.0,64,ENN-NEON,,,,
1441,W,ROSEMONT,,,91,SILVER MAPLE,29,3.0,87,ENN-NEON,,,,
1431,W,ROSEMONT,,,68,HONEY LOCUST,21.7,3.0,65,ENN-NEON,,,,
1427,W,ROSEMONT,,,76,SILVER MAPLE,24.2,3.0,73,ENN-NEON,,,,
1421,W,ROSEMONT,,,72,SILVER MAPLE,22.9,3.0,69,ENN-NEON,,,,
1417,W,ROSEMONT,,,87,SILVER MAPLE,27.7,3.0,83,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,W,ROSEMONT,,,82,NORWAY MAPLE,26.1,4.5,118,ENN-NEON,SW CORNER @ WAYNE,,,
1401,W,ROSEMONT,,,57,HONEY LOCUST,18.2,3.0,54,ENN-NEON,,,,
1311,W,ROSEMONT,,,127,SILVER MAPLE,40.4,3.0,121,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,W,ROSEMONT,,,79,SILVER MAPLE,25.2,3.0,75,ENN-NEON,1245? SE@LAKEWOOD,,,
1243,W,ROSEMONT,,,77,SILVER MAPLE,24.5,3.0,74,ENN-NEON,,,,
1241,W,ROSEMONT,,,85,SILVER MAPLE,27.1,3.0,81,ENN-NEON,,,,
1414,W,THOME,,,70,SUGAR MAPLE,22.3,5.5,123,ENN-NEON,,,,
1420,W,THOME,,,61,AMERICAN SYCAMORE,19.4,4.0,78,ENN-NEON,,,,
1424,W,THOME,,,66,NORWAY MAPLE,21,4.5,95,ENN-NEON,,,,
1430,W,THOME,,,60,SILVER MAPLE,19.1,3.0,57,ENN-NEON,,,,
1434,W,THOME,,,99,SILVER MAPLE,31.5,3.0,95,ENN-NEON,,,,
1440,W,THOME,,,60,RIVER BIRCH,19.1,3.5,67,ENN-NEON,,,,
1452,W,THOME,,,71,AMERICAN SYCAMORE,22.6,4.0,90,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,W,THOME,,,95,SILVER MAPLE,30.3,3.0,91,ENN-NEON,NW CORNER GREENVIEW,,,
1518,W,THOME,,,89,NORTHERN CATALPA,28.3,1.5,43,ENN-NEON,,,,
1520,W,THOME,,,56,AMERICAN SYCAMORE,17.8,4.0,71,ENN-NEON,,,,
1522,W,THOME,,,77,AMERICAN SYCAMORE,24.5,4.0,98,ENN-NEON,,,,
1532,W,THOME,,,66,NORWAY MAPLE,21,4.5,95,ENN-NEON,,,,
1536,W,THOME,,,60,NORWAY MAPLE,19.1,4.5,86,ENN-NEON,,,,
1540,W,THOME,,,73,AMERICAN SYCAMORE,23.2,4.0,93,ENN-NEON,,,,
1542,W,THOME,,,97,SILVER MAPLE,30.9,3.0,93,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,W,THOME,,,56,AMERICAN ELM,17.8,4.0,71,ENN-NEON,SW CORNER 3RD TREE,,,
1417,W,THOME,,,70,NORWAY MAPLE,22.3,4.5,100,ENN-NEON,,,,
1423,W,THOME,,,48,BRADFORD PEAR,15.3,3.0,46,ENN-NEON,,,,
1427,W,THOME,,,52,BRADFORD PEAR,16.6,3.0,50,ENN-NEON,,,,
1433,W,THOME,,,70,NORWAY MAPLE,22.3,4.5,100,ENN-NEON,,,,
1439,W,THOME,,,50,NORWAY MAPLE,15.9,4.5,72,ENN-NEON,,,,
1441,W,THOME,,,87,SILVER MAPLE,27.7,3.0,83,ENN-NEON,,,,
1447,W,THOME,,,81,SILVER MAPLE,25.8,3.0,77,ENN-NEON,,,,
1509,W,THOME,,,63,AMERICAN BASSWOOD,20.1,3.0,60,ENN-NEON,HAYT PARKING,,,
1509,W,THOME,,,85,SIBERIAN ELM,27.1,2.0,54,ENN-NEON,HAYT PARKING,,,
1509,W,THOME,,,74,SIBERIAN ELM,23.6,2.0,47,ENN-NEON,HAYT PARKING,,,
1509,W,THOME,,,54,SIBERIAN ELM,17.2,2.0,34,ENN-NEON,HAYT PARKING,,,
1509,W,THOME,,,73,SIBERIAN ELM,23.2,2.0,46,ENN-NEON,HAYT PARKING,,,
6246,N,GREENVIEW,,,68,NORWAY MAPLE,21.7,4.5,97,ENN-NEON,,,,
6258,N,GREENVIEW,,,102,SILVER MAPLE,32.5,3.0,97,ENN-NEON,,,,
6260,N,GREENVIEW,,,122,SILVER MAPLE,38.9,3.0,117,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,64,NORWAY MAPLE,20.4,4.5,92,ENN-NEON,SW CORNER@ROSEMONT,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,82,WHITE ASH,26.1,5.0,131,ENN-NEON,NW CORNER@ ROSEMONT,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,84,NORWAY MAPLE,26.8,4.5,120,ENN-NEON,SW CORNER@HIGHLAND,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,73,HONEY LOCUST,23.2,3.0,70,ENN-NEON,NW CORNER@ HIGHLAND,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,68,HONEY LOCUST,21.7,3.0,65,ENN-NEON,NW CORNER-30 N OF HIGH,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,71,HONEY LOCUST,22.6,3.0,68,ENN-NEON,NW CORNER 50' N HIGH,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,82,SILVER MAPLE,26.1,3.0,78,ENN-NEON,W @ALLEY HIGH/DEV,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,74,SILVER MAPLE,23.6,3.0,71,ENN-NEON,SW CORNER @ DEVON,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,64,WHITE ASH,20.4,5.0,102,ENN-NEON,SE CORNER @DEVON,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,76,NORWAY MAPLE,24.2,4.5,109,ENN-NEON,NE CORNER@ROSEMONT,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,70,HONEY LOCUST,22.3,3.0,66,ENN-NEON,SE CORNER @ ROSEMONT,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,71,HONEY LOCUST,22.6,3.0,68,ENN-NEON,E @ ALLEY S OF ROSEMONT,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,90,NORWAY MAPLE,28.7,4.5,129,ENN-NEON,E @ 60' N OF THOME,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,61,AMERICAN SYCAMORE,19.4,4.0,78,ENN-NEON,NE CORNER@THOME,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,67,SILVER MAPLE,21.3,3.0,64,ENN-NEON,SE CORNER@ THOME,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,89,SILVER MAPLE,28.3,3.0,85,ENN-NEON,E-S @THOME,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,69,SILVER MAPLE,22,3.0,66,ENN-NEON,E@ALLEY S OF THOME,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,90,SILVER MAPLE,28.7,3.0,86,ENN-NEON,E@ALLEY S OF THOME,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,107,SILVER MAPLE,34.1,3.0,102,ENN-NEON,NE CORNER@GRANVILLE,,,
BROKEN! NEEDS FIXING: 0,N,GREENVIEW,,,VERY BIG,SILVER MAPLE,0,3.0,0,ENN-NEON,1500 ROSEMONT BACKYARD,,,
6244,N,GLENWOOD,,,57,NORWAY MAPLE,18.2,4.5,82,ENN-NEON,,,,
6254,N,GLENWOOD,,,65,NORWAY MAPLE,20.7,4.5,93,ENN-NEON,,,,
6256,N,GLENWOOD,,,60,NORWAY MAPLE,19.1,4.5,86,ENN-NEON,,,,
6302,N,GLENWOOD,,,85,SILVER MAPLE,27.1,3.0,81,ENN-NEON,,,,
6312,N,GLENWOOD,,,60,SILVER MAPLE,19.1,3.0,57,ENN-NEON,,,,
6316,N,GLENWOOD,,,48,HONEY LOCUST,15.3,3.0,46,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,N,GLENWOOD,,,53,NORWAY MAPLE,16.9,4.5,76,ENN-NEON,SW CORN@HIGHLAND,,,
BROKEN! NEEDS FIXING: 0,N,GLENWOOD,,,71,HONEY LOCUST,22.6,3.0,68,ENN-NEON,NW CORN,,,
6322,N,GLENWOOD,,,102,SIBERIAN ELM,32.5,2.0,65,ENN-NEON,,,,
6322,N,GLENWOOD,,,119,SIBERIAN ELM,37.9,2.0,76,ENN-NEON,,,,
6336,N,GLENWOOD,,,48,AMERICAN SYCAMORE,15.3,4.0,60,ENN-NEON,,,,
6340,N,GLENWOOD,,,98,SILVER MAPLE,31.2,3.0,94,ENN-NEON,,,,
6342,N,GLENWOOD,,,72,SILVER MAPLE,22.9,3.0,69,ENN-NEON,,,,
6215,N,GLENWOOD,,,61,NORWAY MAPLE,19.4,4.5,87,ENN-NEON,,,,
6221,N,GLENWOOD,,,75,AMERICAN SYCAMORE,23.9,4.0,96,ENN-NEON,,,,
6239,N,GLENWOOD,,,104,AMERICAN SYCAMORE,33.1,4.0,132,ENN-NEON,,,,
6247,N,GLENWOOD,,,69,NORWAY MAPLE,22,4.5,99,ENN-NEON,,,,
6249,N,GLENWOOD,,,66,NORWAY MAPLE,21,4.5,95,ENN-NEON,,,,
6253,N,GLENWOOD,,,47,NORWAY MAPLE,15,4.5,67,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,N,GLENWOOD,,,63,NORWAY MAPLE,20.1,4.5,90,ENN-NEON,SE CORNER @ROSEMONT,,,
BROKEN! NEEDS FIXING: 0,N,GLENWOOD,,,61,HONEY LOCUST,19.4,3.0,58,ENN-NEON,NE CORNER @ROSEMONT,,,
6305,N,GLENWOOD,,,52,HONEY LOCUST,16.6,3.0,50,ENN-NEON,,,,
6311,N,GLENWOOD,,,68,HONEY LOCUST,21.7,3.0,65,ENN-NEON,,,,
6315,N,GLENWOOD,,,65,LINDEN,20.7,3.0,62,ENN-NEON,,,,
6317,N,GLENWOOD,,,67,LINDEN,21.3,3.0,64,ENN-NEON,,,,
6321,N,GLENWOOD,,,87,SIBERIAN ELM,27.7,2.0,55,ENN-NEON,,,,
6337,N,GLENWOOD,,,50,WHITE ASH,15.9,5.0,80,ENN-NEON,,,,
6339,N,GLENWOOD,,,62,WHITE ASH,19.7,5.0,99,ENN-NEON,,,,
6341,N,GLENWOOD,,,76,AMERICAN SYCAMORE,24.2,4.0,97,ENN-NEON,,,,
6351,N,GLENWOOD,,,51,NORWAY MAPLE,16.2,4.5,73,ENN-NEON,,,,
6353,N,GLENWOOD,,,64,WHITE ASH,20.4,5.0,102,ENN-NEON,,,,
6206,N,WAYNE,,,65,NORWAY MAPLE,20.7,4.5,93,ENN-NEON,,,,
6220,N,WAYNE,,,86,AMERICAN SYCAMORE,27.4,4.0,110,ENN-NEON,,,,
6222,N,WAYNE,,,69,WHITE ASH,22,5.0,110,ENN-NEON,,,,
6230,N,WAYNE,,,85,AMERICAN SYCAMORE,27.1,4.0,108,ENN-NEON,,,,
6236,N,WAYNE,,,80,HONEY LOCUST,25.5,3.0,76,ENN-NEON,,,,
6236,N,WAYNE,,,81,HONEY LOCUST,25.8,3.0,77,ENN-NEON,,,,
6246,N,WAYNE,,,59,AMERICAN SYCAMORE,18.8,4.0,75,ENN-NEON,,,,
6248,N,WAYNE,,,63,AMERICAN SYCAMORE,20.1,4.0,80,ENN-NEON,,,,
6250,N,WAYNE,,,63,AMERICAN SYCAMORE,20.1,4.0,80,ENN-NEON,,,,
6256,N,WAYNE,,,70,AMERICAN SYCAMORE,22.3,4.0,89,ENN-NEON,,,,
6304,N,WAYNE,,,67,AMERICAN SYCAMORE,21.3,4.0,85,ENN-NEON,,,,
6306,N,WAYNE,,,60,NORWAY MAPLE,19.1,4.5,86,ENN-NEON,,,,
6312,N,WAYNE,,,62,NORWAY MAPLE,19.7,4.5,89,ENN-NEON,,,,
6316,N,WAYNE,,,58,RIVER BIRCH,18.5,3.5,65,ENN-NEON,,,,
6322,N,WAYNE,,,89,AMERICAN ELM,28.3,4.0,113,ENN-NEON,,,,
6330,N,WAYNE,,,95,AMERICAN SYCAMORE,30.3,4.0,121,ENN-NEON,,,,
6334,N,WAYNE,,,69,AMERICAN SYCAMORE,22,4.0,88,ENN-NEON,,,,
6342,N,WAYNE,,,70,NORWAY MAPLE,22.3,4.5,99,ENN-NEON,,,,
6201,N,WAYNE,,,89,SIBERIAN ELM,28.3,2.0,57,ENN-NEON,,,,
6215,N,WAYNE,,,85,AMERICAN SYCAMORE,27.1,4.0,108,ENN-NEON,,,,
6219,N,WAYNE,,,81,CATALPA,25.8,1.5,39,ENN-NEON,,,,
6221,N,WAYNE,,,98,AMERICAN SYCAMORE,31.2,4.0,125,ENN-NEON,,,,
6233,N,WAYNE,,,91,SIBERIAN ELM,29,2.0,58,ENN-NEON,,,,
6237,N,WAYNE,,,66,HONEY LOCUST,21,3.0,63,ENN-NEON,,,,
6237,N,WAYNE,,,68,HONEY LOCUST,21.7,3.0,65,ENN-NEON,,,,
6247,N,WAYNE,,,68,NORWAY MAPLE,21.7,4.5,97,ENN-NEON,,,,
6247,N,WAYNE,,,154,EAST COTTONWOOD,49,2.0,98,ENN-NEON,,,,
6257,N,WAYNE,,,60,AMERICAN SYCAMORE,19.1,4.0,76,ENN-NEON,,,,
6257,N,WAYNE,,,97,AMERICAN SYCAMORE,30.9,4.0,124,ENN-NEON,,,,
6301,N,WAYNE,,,64,AMERICAN SYCAMORE,20.4,4.0,82,ENN-NEON,,,,
6303,N,WAYNE,,,59,AMERICAN SYCAMORE,18.8,4.0,75,ENN-NEON,,,,
6311,N,WAYNE,,,78,HONEY LOCUST,24.8,3.0,75,ENN-NEON,,,,
6313,N,WAYNE,,,70,HONEY LOCUST,22.3,3.0,67,ENN-NEON,,,,
6331,N,WAYNE,,,75,AMERICAN SYCAMORE,23.9,4.0,96,ENN-NEON,,,,
6333,N,WAYNE,,,85,CATALPA,27.1,1.5,41,ENN-NEON,,,,
6343,N,WAYNE,,,58,NORWAY MAPLE,18.5,4.5,83,ENN-NEON,,,,
6202,N,LAKEWOOD,,,70,NORTHERN CATALPA,22.3,3.5,78,ENN-NEON,,,,
6214,N,LAKEWOOD,,,64,SILVER MAPLE,20.4,3.0,61,ENN-NEON,,,,
6218,N,LAKEWOOD,,,65,NORWAY MAPLE,20.7,4.5,93,ENN-NEON,,,,
6222,N,LAKEWOOD,,,67,AMERICAN SYCAMORE,21.3,4.0,85,ENN-NEON,,,,
6222,N,LAKEWOOD,,,86,AMERICAN SYCAMORE,27.4,4.0,110,ENN-NEON,,,,
6226,N,LAKEWOOD,,,99,AMERICAN SYCAMORE,31.5,4.0,126,ENN-NEON,,,,
6240,N,LAKEWOOD,,,69,AMERICAN SYCAMORE,22,4.0,88,ENN-NEON,,,,
6242,N,LAKEWOOD,,,81,AMERICAN SYCAMORE,25.8,4.0,103,ENN-NEON,,,,
6248,N,LAKEWOOD,,,86,AMERICAN SYCAMORE,27.4,4.0,110,ENN-NEON,,,,
6250,N,LAKEWOOD,,,65,NORWAY MAPLE,20.7,4.5,93,ENN-NEON,,,,
6252,N,LAKEWOOD,,,79,AMERICAN SYCAMORE,25.2,4.0,101,ENN-NEON,,,,
6256,N,LAKEWOOD,,,58,NORWAY MAPLE,18.5,4.5,83,ENN-NEON,,,,
6306,N,LAKEWOOD,,,55,NORWAY MAPLE,17.5,4.5,79,ENN-NEON,,,,
6308,N,LAKEWOOD,,,59,NORWAY MAPLE,18.8,4.5,85,ENN-NEON,,,,
6212,N,LAKEWOOD,,,63,NORWAY MAPLE,20.1,4.5,90,ENN-NEON,,,,
6314,N,LAKEWOOD,,,62,NORWAY MAPLE,19.7,4.5,89,ENN-NEON,,,,
6320,N,LAKEWOOD,,,72,SIBERIAN ELM,22.9,2.0,46,ENN-NEON,,,,
6322,N,LAKEWOOD,,,57,NORWAY MAPLE,18.2,4.5,82,ENN-NEON,,,,
6326,N,LAKEWOOD,,,73,AMERICAN ELM,23.2,4.0,93,ENN-NEON,,,,
6330,N,LAKEWOOD,,,63,NORWAY MAPLE,20.1,4.5,90,ENN-NEON,,,,
6338,N,LAKEWOOD,,,66,HONEY LOCUST,21,3.0,63,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,N,LAKEWOOD,,,66,HONEY LOCUST,21,3.0,63,ENN-NEON,POCKET PARK- ROW,,,
BROKEN! NEEDS FIXING: 0,N,LAKEWOOD,,,89,HONEY LOCUST,28.3,3.0,85,ENN-NEON,POCKET PARK- ROW,,,
6344,N,LAKEWOOD,,,73,SIBERIAN ELM,23.2,2.0,46,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,N,LAKEWOOD,,,68,HONEY LOCUST,21.7,3.0,65,ENN-NEON,6200 NE CORNER SIDE YARD,,,
BROKEN! NEEDS FIXING: 0,N,LAKEWOOD,,,67,SIBERIAN ELM,21.3,2.0,43,ENN-NEON,6200 NE CORNER SIDE YARD,,,
6217,N,LAKEWOOD,,,81,AMERICAN LINDEN,25.8,3.0,77,ENN-NEON,,,,
6221,N,LAKEWOOD,,,78,HONEY LOCUST,24.8,3.0,75,ENN-NEON,,,,
6223,N,LAKEWOOD,,,70,HONEY LOCUST,22.3,3.0,67,ENN-NEON,,,,
6227,N,LAKEWOOD,,,74,HONEY LOCUST,23.6,3.0,71,ENN-NEON,,,,
6231,N,LAKEWOOD,,,81,HONEY LOCUST,25.8,3.0,77,ENN-NEON,,,,
6237,N,LAKEWOOD,,,90,SILVER MAPLE,28.7,3.0,86,ENN-NEON,,,,
6241,N,LAKEWOOD,,,64,NORWAY MAPLE,20.4,4.5,92,ENN-NEON,,,,
6247,N,LAKEWOOD,,,71,GREEN ASH,22.6,4.0,90,ENN-NEON,,,,
6253,N,LAKEWOOD,,,74,DEAD TREE,23.6,3.0,71,ENN-NEON,,,,
6307,N,LAKEWOOD,,,73,SIBERIAN ELM,23.2,2.0,46,ENN-NEON,,,,
6315,N,LAKEWOOD,,,54,NORWAY MAPLE,17.2,4.5,77,ENN-NEON,,,,
6319,N,LAKEWOOD,,,65,AMERICAN SYCAMORE,20.7,4.0,83,ENN-NEON,,,,
6321,N,LAKEWOOD,,,67,AMERICAN LINDEN,21.3,3.0,64,ENN-NEON,,,,
6325,N,LAKEWOOD,,,55,HONEY LOCUST,17.5,3.0,53,ENN-NEON,,,,
6331,N,LAKEWOOD,,,57,NORWAY MAPLE,18.2,4.5,82,ENN-NEON,,,,
6333,N,LAKEWOOD,,,63,AMERICAN SYCAMORE,20.1,4.0,80,ENN-NEON,,,,
6335,N,LAKEWOOD,,,58,NORWAY MAPLE,18.5,4.5,83,ENN-NEON,,,,
6337,N,LAKEWOOD,,,72,HONEY LOCUST,22.9,3.0,69,ENN-NEON,,,,
6343,N,LAKEWOOD,,,51,NORWAY MAPLE,16.2,4.5,73,ENN-NEON,,,,
6347,N,LAKEWOOD,,,72,NORWAY MAPLE,22.9,4.5,103,ENN-NEON,,,,
6218,N,MAGNOLIA,,,90,SIBERIAN ELM,28.7,2.0,57,ENN-NEON,,,,
6220,N,MAGNOLIA,,,65,HONEY LOCUST,20.7,3.0,62,ENN-NEON,,,,
6232,N,MAGNOLIA,,,89,WHITE ASH,28.3,5.0,142,ENN-NEON,,,,
6236,N,MAGNOLIA,,,77,SILVER MAPLE,24.5,3.0,74,ENN-NEON,,,,
6238,N,MAGNOLIA,,,108,SILVER MAPLE,34.4,3.0,103,ENN-NEON,,,,
6240,N,MAGNOLIA,,,65,BLACK MAPLE,20.7,5.0,104,ENN-NEON,,,,
6310,N,MAGNOLIA,,,88,AMERICAN BASSWOOD,28,3.0,84,ENN-NEON,,,,
6312,N,MAGNOLIA,,,81,AMERICAN BASSWOOD,25.8,3.0,77,ENN-NEON,,,,
6322,N,MAGNOLIA,,,78,AMERICAN SYCAMORE,24.8,4.0,99,ENN-NEON,,,,
6324,N,MAGNOLIA,,,65,NORWAY MAPLE,20.7,4.5,93,ENN-NEON,,,,
6328,N,MAGNOLIA,,,73,NORWAY MAPLE,23.2,4.5,105,ENN-NEON,,,,
6334,N,MAGNOLIA,,,88,AMERICAN SYCAMORE,28,4.0,112,ENN-NEON,,,,
6336,N,MAGNOLIA,,,64,AMERICAN BASSWOOD,20.4,3.0,61,ENN-NEON,,,,
6340,N,MAGNOLIA,,,106,AMERICAN SYCAMORE,33.8,4.0,135,ENN-NEON,,,,
6342,N,MAGNOLIA,,,81,NORWAY MAPLE,25.8,4.5,116,ENN-NEON,,,,
6219,N,MAGNOLIA,,,64,NORWAY MAPLE,20.4,4.5,92,ENN-NEON,,,,
6221,N,MAGNOLIA,,,68,NORWAY MAPLE,21.7,4.5,97,ENN-NEON,,,,
6231,N,MAGNOLIA,,,73,NORWAY MAPLE,23.2,4.5,105,ENN-NEON,,,,
6237,N,MAGNOLIA,,,67,NORWAY MAPLE,21.3,4.5,96,ENN-NEON,,,,
6243,N,MAGNOLIA,,,69,AMERICAN BASSWOOD,22,3.0,66,ENN-NEON,,,,
6309,N,MAGNOLIA,,,88,AMERICAN SYCAMORE,28,4.0,112,ENN-NEON,,,,
6313,N,MAGNOLIA,,,71,NORWAY MAPLE,22.6,4.5,102,ENN-NEON,,,,
6315,N,MAGNOLIA,,,71,AMERICAN SYCAMORE,22.6,4.0,90,ENN-NEON,,,,
6323,N,MAGNOLIA,,,78,SILVER MAPLE,24.8,3.0,75,ENN-NEON,,,,
6331,N,MAGNOLIA,,,71,AMERICAN SYCAMORE,22.6,4.0,90,ENN-NEON,,,,
1214,W,GRANVILLE,,,83,NORWAY MAPLE,26.4,4.5,119,ENN-NEON,,,,
1218,W,GRANVILLE,,,112,NORWAY MAPLE,35.7,4.5,161,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,W,GRANVILLE,,,61,AMERICAN SYCAMORE,19.4,4.0,78,ENN-NEON,N@BARR PARKING,,,
1240,W,GRANVILLE,,,63,NORWAY MAPLE,20.1,4.5,90,ENN-NEON,,,,
1248,W,GRANVILLE,,,75,SILVER MAPLE,23.9,3.0,72,ENN-NEON,,,,
1256,W,GRANVILLE,,,134,SIBERIAN ELM,42.7,2.0,85,ENN-NEON,,,,
1310,W,GRANVILLE,,,67,NORWAY MAPLE,21.3,4.5,96,ENN-NEON,,,,
1310,W,GRANVILLE,,,94,SIBERIAN ELM,29.9,2.0,60,ENN-NEON,,,,
1316,W,GRANVILLE,,,72,AMERICAN SYCAMORE,22.9,4.0,92,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,W,GRANVILLE,,,114,SIBERIAN ELM,36.3,2.0,73,ENN-NEON,NE@WAYNE,,,
1336,W,GRANVILLE,,,80,NORTHERN CATALPA,25.5,1.5,38,ENN-NEON,,,,
1340,W,GRANVILLE,,,86,NORWAY MAPLE,27.4,4.5,123,ENN-NEON,,,,
1346,W,GRANVILLE,,,65,HONEY LOCUST,20.7,3.0,62,ENN-NEON,,,,
1350,W,GRANVILLE,,,55,SILVER MAPLE,17.5,3.0,53,ENN-NEON,,,,
1352,W,GRANVILLE,,,85,LIT LINDEN,27.1,3.0,81,ENN-NEON,,,,
1356,W,GRANVILLE,,,67,LIT LINDEN,21.3,3.0,64,ENN-NEON,,,,
BROKEN! NEEDS FIXING: 0,W,GRANVILLE,,,72,NORWAY MAPLE,22.9,4.5,103,ENN-NEON,NW@GLENWOOD,,,
1404,W,GRANVILLE,,,61,NORWAY MAPLE,19.4,4.5,87,ENN-NEON,,,,
1420,W,GRANVILLE,,,53,NORWAY MAPLE,16.9,4.5,76,ENN-NEON,,,,
1424,W,GRANVILLE,,,57,AMERICAN SYCAMORE,18.2,4.0,73,ENN-NEON,,,,
1426,W,GRANVILLE,,,62,AMERICAN SYCAMORE,19.7,4.0,79,ENN-NEON,,,,
1430,W,GRANVILLE,,,60,GREEN ASH,19.1,4.0,76,ENN-NEON,,,,
1432,W,GRANVILLE,,,59,NORWAY MAPLE,18.8,4.5,85,ENN-NEON,,,,
1436,W,GRANVILLE,,,58,NORWAY MAPLE,18.5,4.5,83,ENN-NEON,,,,
1444,W,GRANVILLE,,,61,NORWAY MAPLE,19.4,4.5,87,ENN-NEON,,,,
1450,W,GRANVILLE,,,61,NORWAY MAPLE,19.4,4.5,87,ENN-NEON,,,,
1452,W,GRANVILLE,,,53,NORWAY MAPLE,16.9,4.5,76,ENN-NEON,,,,
